measurement_id,date,title,status,creator,publisher,software,measurement_type,primary_result,record_path,json_path,pdf_path
GS-2026-0001,2026-07-12,1 kHz Reference Check,draft,Michelangelo Canonico,Direct Sound Records,Groove Scope,1 kHz Reference Check,Speed error -0.71%; DIN wow/flutter 0.045%,measurements/GS-2026-0001/README.md,measurements/GS-2026-0001/measurement.json,measurements/GS-2026-0001/report.pdf
GS-2026-0002,2026-07-22,Ortofon OM10 — Thorens TD160 Super / SME III — 1 kHz Reference Check,draft,Michelangelo Canonico,Direct Sound Records,Groove Scope,1 kHz Reference Check,Speed error +2.41%; DIN-shaped wow/flutter 0.037%,measurements/GS-2026-0002/README.md,measurements/GS-2026-0002/measurement.json,measurements/GS-2026-0002/report.pdf
